Moves,Played,WhiteWins,Draws,BlackWins,AvgElo
a2a3 a7a6 g2g3 g8f6 f1g2 g7g6 b2b4 f8g7 c1b2 e8g8 c2c4 d7d6 g1f3 e7e5 d2d3 b8c6 e1g1 c8f5 b1c3 d8d7 f3d2 f5h3 a1c1 h3g2,2,0,2,0,2673.0
a2a3 a7a6 h2h3 h7h6 d2d3 d7d6 e2e3 e7e6 c2c3 c7c6 g2g3 g7g6 f1g2 f8g7 g1e2 g8e7 e1g1 e8g8 d3d4 d6d5 b1d2 e6e5 d4e5 g7e5,2,0,2,0,2728.5
a2a3 a7a6 h2h3 h7h6 g1f3 g8f6 d2d4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 b7b6 f3e5 c8b7 d1f3 b8d7 g2g4 c7c5 h3h4 c5d4 e3d4 d8c8,2,2,0,0,2763.0
a2a3 c7c5 g1f3 d7d5 e2e3 b8c6 d2d4 c5d4 e3d4 c8g4 c1e3 e7e6 b1d2 f8d6 c2c3 g8e7 h2h3 g4h5 f1d3 e7f5 d1e2 f5e3 e2e3 d8c7,1,0,0,1,2727.0
a2a3 c7c6 b2b4 g8f6 c1b2 g7g6 c2c4 f8g7 g1f3 e8g8 e2e3 d7d5 d2d4 a7a5 b4b5 c6b5 c4b5 c8f5 b1c3 b8d7 f3h4 f5g4 d1b3 e7e5,2,2,0,0,2716.0
a2a3 d7d5 c2c3 g8f6 d2d4 c8f5 c1g5 b8d7 b1d2 e7e6 e2e3 h7h6 g5h4 f8e7 g1f3 e8g8 f1e2 f6e4 h4e7 d8e7 e1g1 f8d8 a1c1 c7c5,2,0,0,2,2754.0
a2a3 d7d5 d2d4 c8f5 g1f3 g8f6 c2c4 d5c4 e2e3 e7e6 f1c4 c7c5 b1c3 b8d7 e1g1 c5d4 e3d4 a8c8 c4a2 f8e7 d4d5 e6d5 c3d5 e8g8,2,0,2,0,2732.5
a2a3 d7d5 d2d4 e7e6 g1f3 c7c5 e2e3 b8c6 d4c5 f8c5 b2b4 c5e7 c1b2 e7f6 d1c1 g8h6 c2c4 e8g8 b1d2 h6g4 f1e2 g4e5 e1g1 e5c4,2,0,2,0,2653.5
a2a3 d7d5 d2d4 g8f6 g1f3 c8f5 c2c4 c7c6 b1c3 e7e6 f3h4 f5g4 f2f3 g4h5 c4d5 c6d5 g2g3 b8c6 h4g2 d8b6 e2e3 f8d6 g2f4 h5g6,2,2,0,0,2775.5
a2a3 d7d5 d2d4 g8f6 g1f3 c8f5 c2c4 c7c6 e2e3 e7e6 f1d3 f5g6 d3g6 h7g6 b1d2 b8d7 b2b3 f8d6 d1c2 e8g8 c1b2 d8e7 e1g1 e6e5,2,2,0,0,2701.0
a2a3 d7d5 d2d4 g8f6 g1f3 c8f5 c2c4 c7c6 e2e3 e7e6 f1d3 f5g6 d3g6 h7g6 b1d2 b8d7 d1c2 f8d6 b2b3 d8e7 c1b2 e8c8 b3b4 c8b8,2,2,0,0,2737.5
a2a3 d7d5 d2d4 g8f6 g1f3 c8f5 c2c4 e7e6 d1b3 d8c8 b1c3 d5c4 b3c4 b8d7 c1f4 f8d6 f4d6 c7d6 c3b5 e8e7 c4b4 f6e4 f3d2 a7a5,2,0,2,0,2719.0
a2a3 d7d5 d2d4 g8f6 g1f3 e7e6 c1f4 c7c5 e2e3 b8c6 b1d2 f8d6 d4c5 d6c5 c2c4 e8g8 a1c1 c5b6 f1e2 d5d4 e3d4 c6d4 e1g1 b6c7,1,1,0,0,2744.5
a2a3 d7d5 d2d4 g8f6 g1f3 g7g6 e2e3 f8g7 c2c4 e8g8 b1c3 d5c4 f1c4 a7a6 e1g1 b7b5 c4a2 c8b7 b2b4 b8d7 d1e2 f6e4 c3e4 b7e4,2,2,0,0,2740.0
a2a3 d7d5 g1f3 a7a6 d2d4 g8f6 c1f4 e7e6 e2e3 f8d6 b1d2 c7c5 f4d6 d8d6 d4c5 d6c5 c2c4 e8g8 a1c1 f8d8 f1e2 d5c4 c1c4 c5e7,2,0,2,0,2810.0
a2a3 d7d5 g1f3 c8f5 c2c4 d5c4 d1a4 c7c6 a4c4 g8f6 d2d3 e7e6 g2g3 b8d7 f1g2 f8e7 b2b3 e8g8 c1b2 h7h6 e1g1 f5h7 b1d2 a7a5,2,2,0,0,2710.5
a2a3 d7d5 g1f3 c8f5 c2c4 e7e6 d1b3 b7b6 c4d5 e6d5 b1c3 c7c6 e2e3 g8f6 f1e2 f8d6 e1g1 e8g8 d2d3 h7h6 e3e4 d5e4 d3e4 f6e4,2,2,0,0,2663.0
a2a3 d7d5 g1f3 c8f5 c2c4 e7e6 d1b3 b7b6 c4d5 e6d5 b1c3 g8f6 d2d3 f8e7 g2g3 e8g8 f1g2 c7c5 c1g5 f5e6 d3d4 b8c6 a1d1 c5c4,2,2,0,0,2714.0
a2a3 d7d5 g1f3 c8f5 e2e3 e7e6 d2d4 g8f6 f1d3 f5d3 d1d3 c7c5 d3b5 d8d7 b5d7 b8d7 b2b3 a8c8 c2c3 f6e4 c1b2 f8d6 b1d2 e4d2,2,0,2,0,2755.0
a2a3 d7d5 g1f3 c8g4 e2e3 c7c6 c2c4 e7e6 c4d5 e6d5 b2b4 d8f6 b1c3 f8d6 c1b2 f6h6 h2h3 g8f6 f1e2 e8g8 f3d4 g4d7 g2g4 h6g6,2,0,0,2,2694.0
a2a3 d7d5 g1f3 c8g4 e2e3 g8f6 h2h3 g4h5 c2c4 c7c6 d1b3 d8c7 c4d5 c6d5 b1c3 e7e6 d2d4 h5f3 g2f3 b8c6 c1d2 a7a6 f3f4 f8e7,2,2,0,0,2680.5
a2a3 d7d5 g1f3 g8f6 b2b4 c8f5 c1b2 h7h6 d2d3 e7e6 g2g3 a7a5 b4b5 a5a4 f1g2 f5h7 e1g1 c7c6 b5c6 b7c6 c2c4 f8d6 b2e5 d6e5,2,0,0,2,2626.0
a2a3 d7d5 g1f3 g8f6 d2d4 c8f5 c2c4 c7c6 b1d2 h7h6 e2e3 e7e6 f1e2 b8d7 e1g1 f8d6 b2b4 e8g8 c1b2 f8e8 a1c1 f6e4 c4c5 d6c7,2,0,0,2,2672.0
a2a3 d7d5 g1f3 g8f6 d2d4 e7e6 c1f4 c7c5 e2e3 d8b6 b1c3 c8d7 a1b1 b8c6 d4c5 f8c5 f1d3 c5e7 e1g1 e8g8 b2b4 f8c8 e3e4 c6d4,2,0,0,2,2709.0
a2a3 d7d5 g1f3 g8f6 d2d4 e7e6 c1f4 f8d6 e2e3 c7c5 d4c5 d6c5 c2c4 e8g8 b1c3 b8c6 d1c2 c5e7 a1d1 d8a5 f1e2 d5c4 e2c4 c8d7,2,2,0,0,2753.5
a2a3 d7d5 g1f3 g8f6 e2e3 c7c5 c2c4 e7e6 b1c3 d5d4 c3e2 b8c6 e3d4 c5d4 b2b4 d4d3 e2g3 e6e5 b4b5 c6a5 f3e5 d8d4 e5d3 d4a1,1,0,0,1,2615.0
a2a3 d7d5 g1f3 g8f6 e2e3 c8f5 c2c4 c7c6 d1b3 d8b6 b3b6 a7b6 c4d5 c6d5 b1c3 b8c6 f1b5 f5d7 c3a4 a8a5 a4c3 e7e6 e1e2 f6e4,2,2,0,0,2679.5
a2a3 d7d5 g1f3 g8f6 e2e3 c8g4 h2h3 g4h5 c2c4 e7e6 b1c3 b8d7 d2d4 f8e7 c4d5 e6d5 f1d3 c7c6 d1c2 h5g6 d3g6 h7g6 c1d2 e7d6,2,0,0,2,2679.5
a2a3 d7d5 g1f3 g8f6 e2e3 e7e6 b2b4 f8e7 c2c4 e8g8 c1b2 b7b6 c4d5 f6d5 b1c3 c8b7 d1c2 b8d7 c3d5 b7d5 b4b5 a8c8 f3d4 e7f6,2,2,0,0,2750.0
a2a3 d7d5 h2h3 c8f5 b2b3 e7e6 c1b2 h7h6 d2d3 g8f6 b1d2 f5h7 g2g3 a7a5 f1g2 b8d7 e2e4 c7c6 d1e2 f8c5 f2f4 d8b6 g1f3 f6h5,2,2,0,0,2608.0
a2a3 e7e5 b1c3 g8f6 f2f4 e5e4 d2d3 e4d3 c2d3 d7d5 e2e4 d5e4 d3e4 d8d1 e1d1 b8c6 g1f3 f8c5 h2h3 c8e6 d1c2 e8c8 f4f5 f6e4,2,0,0,2,2782.5
a2a3 e7e5 c2c3 d7d5 d2d4 b8d7 d4e5 d7e5 g1f3 e5f3 e2f3 c7c6 f1d3 f8d6 e1g1 d8c7 g2g3 g8e7 f1e1 h7h5 c3c4 h5h4 f3f4 h4g3,2,0,2,0,2623.0
a2a3 e7e5 c2c4 b8c6 b1c3 g7g6 g2g3 f8g7 f1g2 d7d6 b2b4 f7f5 d2d3 g8f6 c1g5 h7h6 g5f6 g7f6 e2e3 e8g8 g1e2 f6g7 a1c1 a7a6,2,2,0,0,2704.0
a2a3 e7e5 c2c4 c7c6 d2d4 e5e4 d4d5 g8f6 b1c3 d7d6 c1g5 h7h6 g5h4 e4e3 f2e3 f8e7 g1f3 e8g8 e3e4 b8a6 e4e5 f6d5 c4d5 e7h4,2,2,0,0,2687.0
a2a3 e7e5 c2c4 d7d6 b1c3 f7f5 b2b4 g8f6 g2g3 f8e7 f1g2 e8g8 d2d3 c7c6 g1f3 g8h8 e1g1 c8e6 b4b5 d8c7 a1b1 b8d7 a3a4 d6d5,2,0,2,0,2706.5
